DAY_DATE,DIRECTION,SPX_TR,,
8/16/01,FWD,-0.0166,,
8/17/01,FWD,0.0081,,
8/20/01,FWD,-0.0121,,
8/21/01,FWD,0.007,,
8/22/01,FWD,-0.0027,,
8/23/01,FWD,0.0197,,
8/24/01,FWD,-0.0048,,
8/27/01,FWD,-0.015,,
8/28/01,FWD,-0.011,,
8/29/01,FWD,-0.0169,,
8/30/01,FWD,0.004,,
8/31/01,FWD,-0.0006,,
9/4/01,FWD,-0.0009,,
9/5/01,FWD,-0.0224,,
9/6/01,FWD,-0.0186,,
9/7/01,FWD,0.0062,,
9/10/01,FWD,0,,
9/11/01,FWD,0,,
9/12/01,FWD,0,,
9/13/01,FWD,0,,
9/14/01,FWD,-0.0489,,
9/17/01,FWD,-0.0058,,
9/18/01,FWD,-0.0161,,
9/19/01,FWD,-0.0311,,
9/20/01,FWD,-0.019,,
9/21/01,FWD,0.039,,
9/24/01,FWD,0.0088,,
9/25/01,FWD,-0.0049,,
9/26/01,FWD,0.0115,,
9/27/01,FWD,0.0219,,
9/28/01,FWD,-0.0023,,
10/1/01,FWD,0.0123,,
10/2/01,FWD,0.0201,,
10/3/01,FWD,-0.0025,,
10/4/01,FWD,0.0019,,
10/5/01,FWD,-0.0083,,
10/8/01,FWD,-0.0053,,
10/9/01,FWD,0.023,,
10/10/01,FWD,0.0153,,
10/11/01,FWD,-0.0053,,
10/12/01,FWD,-0.0015,,
10/15/01,FWD,0.0069,,
10/16/01,FWD,-0.0186,,
10/17/01,FWD,-0.0079,,
10/18/01,FWD,0.0046,,
10/19/01,FWD,0.0153,,
10/22/01,FWD,-0.0047,,
10/23/01,FWD,0.0004,,
10/24/01,FWD,0.0137,,
10/25/01,FWD,0.0041,,
10/26/01,FWD,-0.0237,,
10/29/01,FWD,-0.0171,,
10/30/01,FWD,0.0001,,
10/31/01,FWD,0.0231,,
11/1/01,FWD,0.0029,,
11/2/01,FWD,0.0144,,
11/5/01,FWD,0.0145,,
11/6/01,FWD,-0.0024,,
11/7/01,FWD,0.0025,,
11/8/01,FWD,0.0016,,
11/9/01,FWD,-0.0018,,
11/12/01,FWD,0.0187,,
11/13/01,FWD,0.0021,,
11/14/01,FWD,0.0009,,
11/15/01,FWD,-0.0031,,
11/16/01,FWD,0.0109,,
11/19/01,FWD,-0.0073,,
11/20/01,FWD,-0.0049,,
11/21/01,FWD,0.0117,,
11/23/01,FWD,0.0062,,
11/26/01,FWD,-0.0068,,
11/27/01,FWD,-0.0181,,
11/28/01,FWD,0.0105,,
11/29/01,FWD,-0.0007,,
11/30/01,FWD,-0.0084,,
12/3/01,FWD,0.0132,,
12/4/01,FWD,0.0227,,
12/5/01,FWD,-0.0027,,
12/6/01,FWD,-0.0075,,
12/7/01,FWD,-0.0159,,
12/10/01,FWD,-0.0028,,
12/11/01,FWD,0.0004,,
12/12/01,FWD,-0.0155,,
12/13/01,FWD,0.0033,,
12/14/01,FWD,0.0101,,
12/17/01,FWD,0.0076,,
12/18/01,FWD,0.0059,,
12/19/01,FWD,-0.0082,,
12/20/01,FWD,0.0044,,
12/21/01,FWD,-0.0002,,
12/24/01,FWD,0.0041,,
12/26/01,FWD,0.0071,,
12/27/01,FWD,0.0034,,
12/28/01,FWD,-0.0111,,
12/31/01,FWD,0.0059,,
1/2/02,FWD,0.0092,,
1/3/02,FWD,0.0062,,
1/4/02,FWD,-0.0065,,
1/7/02,FWD,-0.0033,,
1/8/02,FWD,-0.0048,,
1/9/02,FWD,0.0012,,
1/10/02,FWD,-0.0094,,
1/11/02,FWD,-0.0063,,
1/14/02,FWD,0.0068,,
1/15/02,FWD,-0.0162,,
1/16/02,FWD,0.01,,
1/17/02,FWD,-0.0099,,
1/18/02,FWD,-0.0073,,
1/22/02,FWD,0.0079,,
1/23/02,FWD,0.0035,,
1/24/02,FWD,0.001,,
1/25/02,FWD,-0.0002,,
1/28/02,FWD,-0.0285,,
1/29/02,FWD,0.0119,,
1/30/02,FWD,0.0151,,
1/31/02,FWD,-0.0071,,
2/1/02,FWD,-0.0247,,
2/4/02,FWD,-0.004,,
2/5/02,FWD,-0.0059,,
2/6/02,FWD,-0.0029,,
2/7/02,FWD,0.0149,,
2/8/02,FWD,0.0144,,
2/11/02,FWD,-0.004,,
2/12/02,FWD,0.0103,,
2/13/02,FWD,-0.0017,,
2/14/02,FWD,-0.011,,
2/15/02,FWD,-0.0188,,
2/19/02,FWD,0.0136,,
2/20/02,FWD,-0.0155,,
2/21/02,FWD,0.0082,,
2/22/02,FWD,0.018,,
2/25/02,FWD,0,,
2/26/02,FWD,0.0009,,
2/27/02,FWD,-0.0028,,
2/28/02,FWD,0.0226,,
3/1/02,FWD,0.0195,,
3/4/02,FWD,-0.0067,,
3/5/02,FWD,0.0147,,
3/6/02,FWD,-0.0045,,
3/7/02,FWD,0.0059,,
3/8/02,FWD,0.0034,,
3/11/02,FWD,-0.0023,,
3/12/02,FWD,-0.0096,,
3/13/02,FWD,-0.0009,,
3/14/02,FWD,0.0114,,
3/15/02,FWD,-0.0005,,
3/18/02,FWD,0.0041,,
3/19/02,FWD,-0.0157,,
3/20/02,FWD,0.0015,,
3/21/02,FWD,-0.0042,,
3/22/02,FWD,-0.0147,,
3/25/02,FWD,0.006,,
3/26/02,FWD,0.0054,,
3/27/02,FWD,0.0025,,
3/28/02,FWD,-0.0007,,
4/1/02,FWD,-0.0085,,
4/2/02,FWD,-0.0098,,
4/3/02,FWD,0.0009,,
4/4/02,FWD,-0.0032,,
4/5/02,FWD,0.0025,,
4/8/02,FWD,-0.0066,,
4/9/02,FWD,0.0114,,
4/10/02,FWD,-0.0236,,
4/11/02,FWD,0.0066,,
4/12/02,FWD,-0.0076,,
4/15/02,FWD,0.0234,,
4/16/02,FWD,-0.002,,
4/17/02,FWD,-0.0014,,
4/18/02,FWD,0.0006,,
4/19/02,FWD,-0.0154,,
4/22/02,FWD,-0.0062,,
4/23/02,FWD,-0.0071,,
4/24/02,FWD,-0.0015,,
4/25/02,FWD,-0.0138,,
4/26/02,FWD,-0.0101,,
4/29/02,FWD,0.0108,,
4/30/02,FWD,0.009,,
5/1/02,FWD,-0.0016,,
5/2/02,FWD,-0.0102,,
5/3/02,FWD,-0.0193,,
5/6/02,FWD,-0.003,,
5/7/02,FWD,0.0376,,
5/8/02,FWD,-0.0144,,
5/9/02,FWD,-0.0168,,
5/10/02,FWD,0.0187,,
5/13/02,FWD,0.0212,,
5/14/02,FWD,-0.0053,,
5/15/02,FWD,0.0066,,
5/16/02,FWD,0.0079,,
5/17/02,FWD,-0.0133,,
5/20/02,FWD,-0.011,,
5/21/02,FWD,0.0057,,
5/22/02,FWD,0.0102,,
5/23/02,FWD,-0.0121,,
5/24/02,FWD,-0.0085,,
5/28/02,FWD,-0.0063,,
5/29/02,FWD,-0.0027,,
5/30/02,FWD,0.0023,,
5/31/02,FWD,-0.0248,,
6/3/02,FWD,0,,
6/4/02,FWD,0.0092,,
6/5/02,FWD,-0.0197,,
6/6/02,FWD,-0.0016,,
6/7/02,FWD,0.0031,,
6/10/02,FWD,-0.0166,,
6/11/02,FWD,0.0067,,
6/12/02,FWD,-0.0105,,
6/13/02,FWD,-0.0023,,
6/14/02,FWD,0.0287,,
6/17/02,FWD,0.001,,
6/18/02,FWD,-0.0165,,
6/19/02,FWD,-0.0134,,
6/20/02,FWD,-0.017,,
6/21/02,FWD,0.0036,,
6/24/02,FWD,-0.0167,,
6/25/02,FWD,-0.0022,,
6/26/02,FWD,0.0176,,
6/27/02,FWD,-0.0008,,
6/28/02,FWD,-0.0214,,
7/1/02,FWD,-0.021,,
7/2/02,FWD,0.0063,,
7/3/02,FWD,0.0367,,
7/5/02,FWD,-0.0119,,
7/8/02,FWD,-0.0246,,
7/9/02,FWD,-0.0339,,
7/10/02,FWD,0.0076,,
7/11/02,FWD,-0.0064,,
7/12/02,FWD,-0.0038,,
7/15/02,FWD,-0.0184,,
7/16/02,FWD,0.0056,,
7/17/02,FWD,-0.027,,
7/18/02,FWD,-0.0383,,
7/19/02,FWD,-0.0329,,
7/22/02,FWD,-0.027,,
7/23/02,FWD,0.0573,,
7/24/02,FWD,-0.0056,,
7/25/02,FWD,0.0169,,
7/26/02,FWD,0.0542,,
7/29/02,FWD,0.0043,,
7/30/02,FWD,0.0099,,
7/31/02,FWD,-0.0294,,
8/1/02,FWD,-0.0231,,
8/2/02,FWD,-0.0343,,
8/5/02,FWD,0.0299,,
8/6/02,FWD,0.0202,,
8/7/02,FWD,0.0327,,
8/8/02,FWD,0.0037,,
