Date,Equity
2025-05-07,100035.4481608499
2025-05-08,100035.29073137905
2025-05-09,100038.86565368882
2025-05-12,100040.0866818445
2025-05-13,100039.1625442785
2025-05-14,100043.85764778279
2025-05-15,100042.75273404345
2025-05-16,100039.9278406851
2025-05-19,100040.5615573109
2025-05-20,100042.28355562527
2025-05-21,100040.91220741288
2025-05-22,100040.35576437565
2025-05-23,100039.30942970015
2025-05-27,100040.14291948972
2025-05-28,100041.2869854551
2025-05-29,100040.1551671022
2025-05-30,100040.60387909025
2025-06-02,100039.19331845331
2025-06-03,100041.28255908343
2025-06-04,100042.25432134376
2025-06-05,100042.12356980189
2025-06-06,100043.47120515622
2025-06-09,100044.74898690691
2025-06-10,100044.76867434503
2025-06-11,100045.0275253746
2025-06-12,100044.90759103233
2025-06-13,100044.07322151329
2025-06-16,100044.94574765372
2025-06-17,100045.11795657227
2025-06-18,100046.336523397
2025-06-20,100046.25500442156
2025-06-23,100046.2798341767
2025-06-24,100045.90040063884
2025-06-25,100045.52007905219
2025-06-26,100044.94239785317
2025-06-27,100045.09543005285
2025-06-30,100045.2087372641
2025-07-01,100045.03002709747
2025-07-02,100044.57552920391
2025-07-03,100045.48688684701
2025-07-07,100046.0013350848
2025-07-08,100047.08486476238
2025-07-09,100048.26680386982
2025-07-10,100046.28821877543
2025-07-11,100047.21630966062
2025-07-14,100047.33226250042
2025-07-15,100047.37285204645
2025-07-16,100048.25077670744
2025-07-17,100047.88506633078
2025-07-18,100048.2778875872
2025-07-21,100047.73265970976
2025-07-22,100047.72323090628
2025-07-23,100047.41968409334
2025-07-24,100048.01306005399
2025-07-25,100048.3411181359
2025-07-28,100048.04640074675
2025-07-29,100048.25497160586
2025-07-30,100048.64201980148
2025-07-31,100049.52190425583
2025-08-01,100049.54502304392
2025-08-04,100051.14539043744
2025-08-05,100051.88953477096
2025-08-06,100052.19790075277
2025-08-07,100052.93436176864
2025-08-08,100053.41879671197
2025-08-11,100053.59734741302
2025-08-12,100053.77601564759
2025-08-13,100054.03057216985
2025-08-14,100053.33726822368
2025-08-15,100054.80932019146
2025-08-18,100054.46194001399
2025-08-19,100054.87335003902
